1186;CDMREADBYCM;number that class data member are read by class methods for given couple of classes
1187;CMUSECDM;number that class methods use class data members for given couple of classes
1188;CDMUSEDBYCM;number that class data member are used by class methods for given couple of classes
1189;CMWRITECDM;number that class methods write class data members for given couple of classes
1190;CDMWRITTENBYCM;number that class data member are written by class methods for given couple of classes
1191;CDMUSECL;number that class data members of one class use another class for given couple of classes
1192;CLUSEDBYCDM;number that class is used by class data members of another class for given couple of classes
1193;CMUSECL;number that class methods of one class use another class for given couple of classes
1194;CLUSEDBYCM;number that class is used by class methods of another class for given couple of classes
1195;FLREADSMCR;number that file reads macro for given couple (file,macro)
1196;MCRREADBYFL;number that macro is read by file for given couple (macro, file)
1197;FLUSESMCR;number that file uses macro for given couple (file, macro)
1198;MCRUSEDBYFL;number that macro is used by file for given couple (macro, file)
1000;COUPLINGUB1;first file level used-by coupling metric
1001;COUPLINGU1;first file level uses coupling metric
1002;COUPLINGUB2;second file level used-by coupling metric
1003;COUPLINGU2;second file level uses coupling metric
1004;COUPLINGUB3;third file level used-by coupling metric
1005;COUPLINGU3;third file level uses coupling metric
1006;COUPLINGUB4;fourth file level used-by coupling metric
1007;COUPLINGU4;fourth file level uses coupling metric
1008;COHESION1;first cohesion number of relationships
1009;COHESION2;second cohesion number of relationships
1010;COHESION3;third cohesion number of relationships
1011;COHESION4;fourth cohesion number of relationships
205;ACAIC;ancestor class-attribute import coupling
206;ACMIC;ancestor class-method import coupling
207;DCAEC;descendant class-attribute export coupling
208;DCMEC;descendant class-method export coupling
209;OCAIC;class-attribute import coupling
210;OCAEC;class-attribute export coupling
211;OCMIC;class-method import coupling
212;OCMEC;class-method export coupling
213;AMMIC;ancestor class-method-class-method import coupling
214;DMMEC;descendant class-method-class-method export coupling
215;OMMIC;class-method-class-method import coupling
216;OMMEC;class-method-class-method export coupling
